ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P379054	9.16E-12	2.12E-14	-8.2888973	22.218171	-4.441544	CLDN19	claudin 19
A_23_P23783	2.27E-11	6.21E-14	-8.1135343	21.178436	-4.3981414	MYOC	myocilin
A_23_P103703	1.51E-12	2.47E-15	-8.6350777	24.299574	-4.3945838	HSPB7	heat shock protein family B (small) member 7
A_23_P369237	5.37E-08	5.93E-10	-6.530807	12.33242	-4.3854022	ADIPOQ	adiponectin, C1Q and collagen domain containing
A_23_P501193	3.46E-09	2.48E-11	-7.10021	15.392042	-4.3748741	KCNJ16	potassium voltage-gated channel subfamily J member 16
A_23_P123228	0.00000848	0.00000028	-5.3296376	6.432649	-4.3527184	SLC26A3	solute carrier family 26 member 3
A_23_P75749	8.52E-12	1.89E-14	-8.3075645	22.329448	-4.3428908	GLYAT	glycine-N-acyltransferase
A_23_P501010	0.000000286	4.67E-09	-6.1450651	10.35047	-4.3391555	COL17A1	collagen type XVII alpha 1 chain
A_32_P184464	0.00029	0.0000202	-4.373249	2.372678	-4.2815723	ROPN1	rhophilin associated tail protein 1
A_24_P561341	0.00000012	1.61E-09	-6.3462279	11.374411	-4.2762028	FAM150B	family with sequence similarity 150 member B
A_23_P150979	0.00465	0.000646	-3.469803	-0.854191	-4.2327986	MUCL1	mucin like 1
A_24_P228149	0.000000129	1.76E-09	-6.3291758	11.286788	-4.2204633	KRT13	keratin 13
A_32_P191441	3.03E-08	3.01E-10	-6.6547686	12.985397	-4.1957085	C10orf90	chromosome 10 open reading frame 90
A_23_P392654	0.000000116	1.54E-09	-6.3539637	11.414211	-4.1669281	SPHKAP	SPHK1 interactor, AKAP domain containing
A_32_P24857	1.7E-18	2.91E-22	-11.0721919	39.757058	-4.1657877	APBA1	amyloid beta precursor protein binding family A member 1
A_24_P417407	0.0000407	0.00000186	-4.9227041	4.629749	-4.1533664	ROPN1B	rhophilin associated tail protein 1B
A_24_P108784	0.0000381	0.00000171	-4.9409928	4.708449	-4.1516319	SOX10	SRY-box 10
A_23_P216779	4.02E-09	2.9E-11	-7.0724715	15.239531	-4.1473132	NTRK2	neurotrophic receptor tyrosine kinase 2
A_23_P148879	0.000000116	1.54E-09	-6.3537202	11.412958	-4.1382541	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
A_23_P94103	7.15E-10	3.69E-12	-7.4300879	17.231138	-4.1186949	SCARA5	scavenger receptor class A member 5
A_23_P52323	2.9E-09	2.01E-11	-7.136512	15.592148	-4.1163169	COL17A1	collagen type XVII alpha 1 chain
A_23_P10121	0.00000303	7.95E-08	-5.5885038	7.634004	-4.1048373	SFRP1	secreted frizzled related protein 1
A_23_P17438	1.98E-08	1.84E-10	-6.7436632	13.458267	-4.0755363	EDN3	endothelin 3
A_24_P126210	2.61E-09	1.75E-11	-7.1611204	15.728123	-4.0617863	MRAP	melanocortin 2 receptor accessory protein
A_23_P143694	0.0000468	0.00000222	-4.8832218	4.460614	-4.0599297	SOX10	SRY-box 10
A_23_P257834	0.000000216	3.34E-09	-6.2084609	10.670844	-4.0552037	ALB	albumin
A_23_P132619	2.51E-14	1.78E-17	-9.4096288	29.078843	-4.0547953	OXTR	oxytocin receptor
A_23_P8820	8.17E-08	1.01E-09	-6.43232	11.819091	-4.0489118	FABP4	fatty acid binding protein 4
A_23_P59388	7.21E-10	3.75E-12	-7.4273284	17.215564	-4.0484162	DST	dystonin
A_23_P4899	1.29E-09	7.71E-12	-7.3034593	16.519738	-4.0398465	NTF4	neurotrophin 4
A_24_P257416	1.59E-14	1.09E-17	-9.4853053	29.553771	-4.0266052	CXCL2	C-X-C motif chemokine ligand 2
A_23_P376704	0.0000129	0.000000464	-5.2230735	5.9502	-4.0034957	CIDEA	cell death-inducing DFFA-like effector a
A_24_P602871	1.21E-10	4.43E-13	-7.7883477	19.27855	-3.9935957	SAMD5	sterile alpha motif domain containing 5
A_23_P204736	3.21E-09	2.26E-11	-7.1163778	15.481092	-3.9891535	GPD1	glycerol-3-phosphate dehydrogenase 1
A_23_P110253	3.19E-10	1.39E-12	-7.5957177	18.171471	-3.9527347	KIT	KIT proto-oncogene receptor tyrosine kinase
A_23_P162660	4.46E-13	6.09E-16	-8.8573734	25.654932	-3.8986793	GPD1	glycerol-3-phosphate dehydrogenase 1
A_23_P58359	0.0000472	0.00000225	-4.8809164	4.45077	-3.8814626	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
A_23_P64919	4.04E-08	4.24E-10	-6.5923092	12.655441	-3.8714288	RERGL	RERG like
A_23_P315364	5.26E-12	1.08E-14	-8.3986417	22.873968	-3.8574656	CXCL2	C-X-C motif chemokine ligand 2
A_24_P213950	2.57E-12	4.45E-15	-8.5408499	23.729387	-3.8307094	HEPACAM	hepatic and glial cell adhesion molecule
A_32_P187951	3.48E-11	1.08E-13	-8.0228692	20.644962	-3.8298347	BTNL9	butyrophilin like 9
A_32_P9941	0.000000141	1.96E-09	-6.3086624	11.181579	-3.8233161	WIF1	WNT inhibitory factor 1
A_24_P289260	3.22E-09	2.28E-11	-7.1152229	15.474727	-3.820476	DACT2	dishevelled binding antagonist of beta catenin 2
A_23_P10127	0.0000133	0.000000481	-5.2154983	5.916179	-3.8182853	SFRP1	secreted frizzled related protein 1
A_24_P365721	0.000758	0.0000674	-4.0765847	1.244123	-3.8134301	SLC6A14	solute carrier family 6 member 14
A_23_P146294	1.37E-08	1.17E-10	-6.824914	13.893775	-3.8063644	EFCAB1	EF-hand calcium binding domain 1
A_24_P291658	0.00000325	8.59E-08	-5.5726958	7.559472	-3.7989604	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
A_24_P260101	2.75E-13	3.55E-16	-8.9426316	26.178412	-3.7823184	MME	membrane metallo-endopeptidase
A_24_P706953	0.000118	0.00000676	-4.6314811	3.407172	-3.7731216	TMEM213	transmembrane protein 213
A_23_P308058	9.16E-12	2.17E-14	-8.2854917	22.197882	-3.7600195	TUSC5	tumor suppressor candidate 5
A_23_P81280	1.2E-09	6.98E-12	-7.3204388	16.614742	-3.7561612	BTNL9	butyrophilin like 9
A_24_P168925	6.15E-08	7.07E-10	-6.4987204	12.164644	-3.7535807	CHRDL1	chordin like 1
A_24_P337104	2.25E-19	3.29E-23	-11.3936511	41.866658	-3.7412462	OXTR	oxytocin receptor
A_24_P31165	1.6E-09	9.97E-12	-7.2589895	16.271493	-3.7266755	GFAP	glial fibrillary acidic protein
A_24_P213944	8.1E-10	4.4E-12	-7.3996998	17.059814	-3.719872	HEPACAM	hepatic and glial cell adhesion molecule
A_23_P143857	1.75E-13	2.01E-16	-9.0321209	26.729959	-3.6940442	LRRC3B	leucine rich repeat containing 3B
A_32_P43717	1.48E-09	9.06E-12	-7.2754684	16.363386	-3.6848664	FAM189A2	family with sequence similarity 189 member A2
A_24_P281009	9.47E-09	7.73E-11	-6.8992563	14.294964	-3.6816709	AQP7P1	aquaporin 7 pseudogene 1
A_23_P213699	7.27E-10	3.79E-12	-7.4252904	17.204065	-3.6476797	NRG2	neuregulin 2
A_23_P81158	0.00000481	0.000000138	-5.4759578	7.106655	-3.6385083	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
A_23_P117104	0.00416	0.00056	-3.5102516	-0.723404	-3.6118052	AQP5	aquaporin 5
A_32_P44878	2.58E-10	1.07E-12	-7.6402159	18.425948	-3.6063282	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
A_23_P217326	9.64E-14	9.39E-17	-9.1510452	27.466132	-3.6025706	FHL1	four and a half LIM domains 1
A_23_P168761	0.00013	0.00000765	-4.6029469	3.290536	-3.5999693	PTPRZ1	protein tyrosine phosphatase, receptor type Z1
A_32_P224525	0.000000128	1.75E-09	-6.3304723	11.293444	-3.5955655	COL6A6	collagen type VI alpha 6 chain
A_23_P151232	1.45E-08	1.27E-10	-6.810656	13.817126	-3.5897694	TMEM132C	transmembrane protein 132C
A_23_P41145	0.000484	0.0000385	-4.2164167	1.767932	-3.5641732	FAM3D	family with sequence similarity 3 member D
A_23_P127781	0.00973	0.00163	-3.1962988	-1.703311	-3.5569811	SCGB1D1	secretoglobin family 1D member 1
A_32_P152195	0.000744	0.0000658	-4.0826923	1.266696	-3.5455437	STAC2	SH3 and cysteine rich domain 2
A_23_P327380	0.000000671	1.28E-08	-5.9504289	9.380536	-3.5409071	TP63	tumor protein p63
A_32_P187571	0.00000109	0.000000023	-5.8357676	8.819032	-3.5381501	SCN2B	sodium voltage-gated channel beta subunit 2
A_32_P157208	9.18E-12	2.19E-14	-8.283471	22.185846	-3.5325305	PGM5-AS1	PGM5 antisense RNA 1
A_23_P150555	0.0117	0.00206	-3.12494	-1.914617	-3.5256548	SCGB1D2	secretoglobin family 1D member 2
A_23_P167479	8.11E-09	6.48E-11	-6.9305843	14.464791	-3.5074056	IL17B	interleukin 17B
A_23_P218047	0.0000973	0.00000536	-4.6847782	3.626554	-3.5068419	KRT5	keratin 5
A_32_P163894	1.33E-09	7.98E-12	-7.2974553	16.486173	-3.4951757	NRG2	neuregulin 2
A_23_P133457	0.0000013	2.87E-08	-5.7926513	8.609828	-3.4923722	IRX1	iroquois homeobox 1
A_23_P145841	0.000112	0.00000637	-4.6449871	3.462578	-3.4839656	SOSTDC1	sclerostin domain containing 1
A_23_P212061	3.08E-12	5.55E-15	-8.5053788	23.515437	-3.4815582	MME	membrane metallo-endopeptidase
A_23_P403886	9.44E-11	3.34E-13	-7.8355311	19.551854	-3.4729182	GLYAT	glycine-N-acyltransferase
A_24_P181254	0.00316	0.000398	-3.6060097	-0.40851	-3.4674909	OLFM4	olfactomedin 4
A_23_P427014	0.00000615	0.000000187	-5.4134233	6.816977	-3.4620805	CLDN8	claudin 8
A_24_P227141	0.00147	0.000155	-3.861115	0.466015	-3.4617746	ELF5	E74 like ETS transcription factor 5
A_23_P306203	0.000000253	4.05E-09	-6.1721048	10.486853	-3.4558671	SAA2	serum amyloid A2
A_23_P45751	2.35E-10	9.56E-13	-7.6592441	18.535	-3.4529507	CLCA4	chloride channel accessory 4
A_24_P925505	0.000000476	8.59E-09	-6.0281058	9.765122	-3.4485515	CD36	CD36 molecule
A_23_P303251	0.000569	0.0000472	-4.1661562	1.577972	-3.4461816	PTCHD1	patched domain containing 1
A_24_P104407	4.48E-08	4.79E-10	-6.570022	12.538168	-3.4457447	SYNM	synemin
A_23_P153480	0.00271	0.000329	-3.6587112	-0.232066	-3.4403269	KLK5	kallikrein related peptidase 5
A_23_P413721	2.13E-15	1.14E-18	-9.8308072	31.737766	-3.438877	GPD1	glycerol-3-phosphate dehydrogenase 1
A_23_P146233	6.16E-08	7.11E-10	-6.4974582	12.158054	-3.4384895	LPL	lipoprotein lipase
A_23_P159974	1.01E-09	5.72E-12	-7.3548672	16.807747	-3.4363451	KLHL13	kelch like family member 13
A_23_P76322	7.96E-08	9.77E-10	-6.4389053	11.853261	-3.4217939	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
A_32_P109242	6.98E-10	3.52E-12	-7.4379082	17.275288	-3.4161384	CSRNP3	cysteine and serine rich nuclear protein 3
A_24_P335092	0.000000487	8.81E-09	-6.0231446	9.740459	-3.3973831	SAA1	serum amyloid A1
A_23_P206733	7.99E-10	4.33E-12	-7.4027782	17.077152	-3.3921505	CES1	carboxylesterase 1
A_23_P170636	0.000000323	5.37E-09	-6.1182171	10.215444	-3.3899714	KCNH8	potassium voltage-gated channel subfamily H member 8
A_24_P257224	0.000000508	9.24E-09	-6.0139611	9.694841	-3.3820166	TPO	thyroid peroxidase
A_23_P97841	8.2E-13	1.24E-15	-8.7448536	24.967133	-3.3753883	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
A_23_P50817	0.00031	0.000022	-4.3529431	2.293363	-3.3645061	TTYH1	tweety family member 1
A_32_P70315	0.00000702	0.00000022	-5.3792336	6.65962	-3.3582445	TIMP4	TIMP metallopeptidase inhibitor 4
A_23_P4335	0.000216	0.0000142	-4.4574912	2.704918	-3.3303915	KRT14	keratin 14
A_23_P22013	0.000000769	1.52E-08	-5.9172109	9.2171	-3.328266	RSPO1	R-spondin 1
A_23_P200015	0.00000366	0.000000099	-5.5437713	7.423487	-3.3181327	AK5	adenylate kinase 5
A_23_P349857	0.000000213	3.29E-09	-6.2115952	10.68674	-3.3175487	NRG2	neuregulin 2
A_23_P97606	0.000000101	1.29E-09	-6.3871427	11.585267	-3.3120538	GSTM5	glutathione S-transferase mu 5
A_24_P300394	0.000973	0.0000921	-3.9966902	0.95146	-3.2959801	GSTA2	glutathione S-transferase alpha 2
A_32_P38093	2.62E-09	1.77E-11	-7.1589602	15.716177	-3.295856	ATOH8	atonal bHLH transcription factor 8
A_23_P134139	0.0296	0.00691	-2.7310013	-3.002998	-3.2934694	FABP7	fatty acid binding protein 7
A_23_P30126	0.000962	0.0000907	-4.0006624	0.965896	-3.2934656	FGFBP1	fibroblast growth factor binding protein 1
A_23_P315815	0.000000186	2.76E-09	-6.244452	10.853683	-3.2769213	NRG1	neuregulin 1
A_23_P127911	2.74E-11	7.89E-14	-8.0742865	20.947153	-3.2753571	PAMR1	peptidase domain containing associated with muscle regeneration 1
A_23_P76538	3.28E-15	1.92E-18	-9.7514919	31.234211	-3.2745833	TESC	tescalcin
A_23_P87238	0.00000171	3.99E-08	-5.7267684	8.292235	-3.2743476	SAA4	serum amyloid A4, constitutive
A_24_P941339	8.12E-08	0.000000001	-6.4338648	11.827105	-3.2734357	KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1
A_23_P106042	0.00000259	6.59E-08	-5.6263392	7.812999	-3.272747	CMTM5	CKLF like MARVEL transmembrane domain containing 5
A_23_P127495	0.000477	0.0000378	-4.2209203	1.785045	-3.2665066	BBOX1	gamma-butyrobetaine hydroxylase 1
A_23_P72668	1.29E-10	4.82E-13	-7.7743187	19.197448	-3.2603869	SDPR	serum deprivation response
A_23_P258887	4.59E-08	4.96E-10	-6.5637962	12.505452	-3.2559575	ALDH1L1	aldehyde dehydrogenase 1 family member L1
A_23_P94517	0.00000146	0.000000033	-5.7645277	8.473948	-3.2514852	BRINP1	BMP/retinoic acid inducible neural specific 1
A_23_P363954	0.0000353	0.00000155	-4.9621709	4.799862	-3.2493829	THRSP	thyroid hormone responsive
A_32_P33114	9.15E-09	7.41E-11	-6.906886	14.336283	-3.2451024	KLB	klotho beta
A_23_P328545	0.00703	0.00109	-3.3184939	-1.331582	-3.2285481	GABRP	gamma-aminobutyric acid type A receptor pi subunit
A_24_P209710	0.000000246	3.89E-09	-6.1794452	10.523944	-3.2256608	FAM189A2	family with sequence similarity 189 member A2
A_24_P226069	3.24E-08	3.3E-10	-6.6379473	12.896347	-3.2251851	FGFBP2	fibroblast growth factor binding protein 2
A_23_P118615	0.00000462	0.000000131	-5.4867509	7.156894	-3.2164187	ABCA8	ATP binding cassette subfamily A member 8
A_23_P408249	0.0000363	0.00000161	-4.9541597	4.765247	-3.2075048	PCK1	phosphoenolpyruvate carboxykinase 1
A_24_P390495	1.05E-09	5.95E-12	-7.3479245	16.768787	-3.2043181	CX3CL1	C-X3-C motif chemokine ligand 1
A_23_P503072	0.0000431	0.00000202	-4.9047175	4.552568	-3.20401	CCL28	C-C motif chemokine ligand 28
A_24_P292253	7E-10	3.55E-12	-7.4364595	17.267108	-3.1985498	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
A_32_P118397	0.00121	0.000121	-3.926146	0.6971	-3.1890769	HEPACAM2	HEPACAM family member 2
A_23_P103588	0.0114	0.00199	-3.1351736	-1.884577	-3.18842	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2
A_23_P369343	0.0131	0.00239	-3.0790849	-2.048136	-3.1815823	KLK8	kallikrein related peptidase 8
A_23_P104252	1.82E-10	6.96E-13	-7.7127439	18.842357	-3.1803864	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
A_23_P74609	1.99E-08	1.85E-10	-6.7426873	13.453055	-3.1802249	G0S2	G0/G1 switch 2
A_32_P10936	6.53E-11	2.26E-13	-7.9004084	19.928981	-3.1776786	CDH12	cadherin 12
A_23_P422831	0.000000929	0.000000019	-5.8739458	9.005165	-3.1671782	FAM189A2	family with sequence similarity 189 member A2
A_23_P381172	0.000000271	4.37E-09	-6.1575497	10.413391	-3.1608028	MRAP	melanocortin 2 receptor accessory protein
A_23_P121987	0.000000237	3.73E-09	-6.1878069	10.566232	-3.1607064	TSLP	thymic stromal lymphopoietin
A_23_P72697	2.52E-08	2.46E-10	-6.6917485	13.181647	-3.1584611	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
A_23_P108216	1.12E-08	9.42E-11	-6.8640865	14.104849	-3.1473151	FXYD1	FXYD domain containing ion transport regulator 1
A_23_P500328	0.0000278	0.00000117	-5.0252045	5.073702	-3.1452482	DCX	doublecortin
A_23_P428485	0.00000276	7.13E-08	-5.6103583	7.737291	-3.1411835	SPHKAP	SPHK1 interactor, AKAP domain containing
A_24_P35537	0.00000343	9.19E-08	-5.5590666	7.495333	-3.1408974	RIC3	RIC3 acetylcholine receptor chaperone
A_23_P143526	0.0000436	0.00000205	-4.9016123	4.539265	-3.136791	S100B	S100 calcium binding protein B
A_24_P235248	0.0000486	0.00000233	-4.8728584	4.416392	-3.136189	PTPRZ1	protein tyrosine phosphatase, receptor type Z1
A_23_P19723	0.000000941	1.93E-08	-5.871033	8.990934	-3.1325226	BMP5	bone morphogenetic protein 5
A_23_P105212	0.000443	0.0000344	-4.2445408	1.875046	-3.1310204	THRSP	thyroid hormone responsive
A_23_P217570	0.00234	0.000273	-3.709391	-0.060304	-3.1308894	CAPN6	calpain 6
A_23_P356494	0.0000994	0.00000549	-4.6792711	3.603794	-3.128094	SPINK5	serine peptidase inhibitor, Kazal type 5
A_23_P17130	0.000000709	1.39E-08	-5.9350535	9.30481	-3.1209791	C2orf88	chromosome 2 open reading frame 88
A_23_P162607	9.64E-10	5.38E-12	-7.3652268	16.865919	-3.1157869	STAB2	stabilin 2
A_23_P111583	0.00000109	2.29E-08	-5.8367871	8.823991	-3.1132594	CD36	CD36 molecule
A_23_P104804	0.000011	0.000000387	-5.2613227	6.122539	-3.1126332	ZBTB16	zinc finger and BTB domain containing 16
A_24_P756494	1.95E-11	5.13E-14	-8.1447904	21.363	-3.111543	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
A_24_P200854	5.37E-09	4.06E-11	-7.0133238	14.915469	-3.1100235	HOXA2	homeobox A2
A_23_P206920	0.0000141	0.000000515	-5.2008125	5.850329	-3.1075624	MYH11	myosin heavy chain 11
A_23_P7853	4.06E-09	2.94E-11	-7.0702166	15.227149	-3.1074101	CAPN11	calpain 11
A_24_P355967	0.000000281	4.56E-09	-6.149238	10.371492	-3.1025455	HTR2A	5-hydroxytryptamine receptor 2A
A_24_P70183	0.0000143	0.000000524	-5.1970911	5.833664	-3.0960899	MYH11	myosin heavy chain 11
A_23_P212508	0.0000314	0.00000136	-4.9917873	4.928198	-3.0886309	TF	transferrin
A_32_P159234	0.0000166	0.000000627	-5.1590251	5.663712	-3.0860305	KIAA1456	KIAA1456
A_23_P71328	0.000000021	1.98E-10	-6.7303109	13.386998	-3.0835227	MATN2	matrilin 2
A_23_P157914	5.3E-10	2.49E-12	-7.4971656	17.610639	-3.0749484	MAMDC2	MAM domain containing 2
A_32_P212483	0.000000078	9.55E-10	-6.4430443	11.87475	-3.0681521	PAK3	p21 (RAC1) activated kinase 3
A_23_P203267	0.000294	0.0000206	-4.3693276	2.357337	-3.0663209	TRIM29	tripartite motif containing 29
A_23_P101505	0.017	0.00334	-2.9721336	-2.352614	-3.0641371	KLK11	kallikrein related peptidase 11
A_24_P290225	1.51E-08	1.33E-10	-6.8017292	13.769186	-3.0566814	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4
A_24_P347319	0.0154	0.00295	-3.0123478	-2.239273	-3.0533782	KCNC2	potassium voltage-gated channel subfamily C member 2
A_23_P139198	0.0000155	0.000000575	-5.1774296	5.745765	-3.0525051	LGALS12	galectin 12
A_32_P109653	9.21E-12	2.22E-14	-8.2811831	22.17222	-3.0521744	SNCA	synuclein alpha
A_23_P58169	0.00000485	0.000000139	-5.4738578	7.096888	-3.051534	NPY2R	neuropeptide Y receptor Y2
A_24_P870620	0.00000154	3.52E-08	-5.7519984	8.41356	-3.0512815	PTN	pleiotrophin
A_23_P212500	0.0000213	0.000000853	-5.0928154	5.370336	-3.0508793	TF	transferrin
A_23_P136493	0.000000766	1.51E-08	-5.9184292	9.223083	-3.0487811	NRG1	neuregulin 1
A_23_P259707	0.000000452	8.04E-09	-6.0407343	9.827963	-3.0439676	PLPPR1	phospholipid phosphatase related 1
A_23_P38876	2.51E-09	1.67E-11	-7.169221	15.772942	-3.0410901	LIPE	lipase E, hormone sensitive type
A_23_P257971	0.0000239	0.000000976	-5.0637878	5.242614	-3.0300811	AKR1C1	aldo-keto reductase family 1 member C1
A_23_P108075	0.00000456	0.000000129	-5.4899311	7.171711	-3.0272302	SLC7A10	solute carrier family 7 member 10
A_23_P400505	2.29E-10	9.23E-13	-7.6652532	18.569468	-3.0187628	C1QTNF9	C1q and tumor necrosis factor related protein 9
A_23_P218369	0.00000211	5.14E-08	-5.6764124	8.051198	-3.0077103	CCL14	C-C motif chemokine ligand 14
A_24_P179225	0.000000169	2.47E-09	-6.2654742	10.960796	-3.0048618	MATN2	matrilin 2
A_23_P61707	0.000000922	1.88E-08	-5.8757893	9.014173	-3.0035208	HPSE2	heparanase 2 (inactive)
A_23_P419868	2.7E-10	1.13E-12	-7.6307807	18.371925	-3.0021206	LMO7DN	LMO7 downstream neighbor
A_32_P300427	0.0000343	0.0000015	-4.9694942	4.831542	-2.9989219	APCDD1L	APC down-regulated 1 like
A_23_P217379	0.000119	0.00000682	-4.6293974	3.398635	-2.9989135	COL4A6	collagen type IV alpha 6 chain
A_23_P53417	0.0000403	0.00000184	-4.9249193	4.63927	-2.9987175	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
A_23_P333683	2.02E-08	1.89E-10	-6.7389047	13.432858	-2.9970545	IGSF10	immunoglobulin superfamily member 10
A_23_P27133	0.000144	0.00000862	-4.5750033	3.176868	-2.9936333	KRT15	keratin 15
A_23_P125233	1.44E-08	1.25E-10	-6.8131601	13.830581	-2.9886716	CNN1	calponin 1
A_23_P43337	5.74E-08	6.45E-10	-6.5153899	12.251742	-2.9868568	FREM1	FRAS1 related extracellular matrix 1
A_24_P244800	1.56E-08	1.41E-10	-6.792489	13.719601	-2.9859998	NDRG2	NDRG family member 2
A_32_P24140	0.000000563	1.03E-08	-5.9922112	9.586987	-2.9843628	GAS2	growth arrest specific 2
A_32_P221096	1.34E-12	2.16E-15	-8.6567431	24.431047	-2.9835397	TSHZ2	teashirt zinc finger homeobox 2
A_23_P98622	0.00000165	3.82E-08	-5.7358268	8.335752	-2.9779452	SAA2	serum amyloid A2
A_23_P39871	0.00000264	6.75E-08	-5.6214616	7.789876	-2.9772585	SLC19A3	solute carrier family 19 member 3
A_23_P156708	1.85E-09	1.16E-11	-7.2320435	16.121479	-2.9590935	TNXB	tenascin XB
A_32_P19966	0.0000112	0.000000396	-5.2567562	6.101916	-2.9531908	KCNB1	potassium voltage-gated channel subfamily B member 1
A_23_P51787	0.00000706	0.000000222	-5.3774412	6.651391	-2.9478031	AMPD1	adenosine monophosphate deaminase 1
A_23_P41789	0.0000304	0.0000013	-5.0013537	4.969776	-2.9445229	SLC27A6	solute carrier family 27 member 6
A_23_P9135	0.00000412	0.000000114	-5.5149527	7.288502	-2.9406673	CNTNAP3	contactin associated protein-like 3
A_24_P344510	0.0000527	0.00000257	-4.8508512	4.322726	-2.9354643	KLK3	kallikrein related peptidase 3
A_32_P151263	0.000000107	1.38E-09	-6.3743484	11.519239	-2.933412	SLC2A4	solute carrier family 2 member 4
A_23_P58205	0.000614	0.0000519	-4.142495	1.489197	-2.9314354	AFP	alpha fetoprotein
A_32_P184448	0.000000109	1.42E-09	-6.3691577	11.492474	-2.9233997	CCDC178	coiled-coil domain containing 178
A_23_P93772	3.03E-08	3E-10	-6.6551886	12.987622	-2.9219704	HOXA5	homeobox A5
A_24_P220947	0.000032	0.00000139	-4.9869445	4.907173	-2.9194216	AKR1C1	aldo-keto reductase family 1 member C1
A_23_P303087	0.00000363	9.81E-08	-5.5456779	7.432435	-2.9136719	PTN	pleiotrophin
A_23_P57709	0.000172	0.0000107	-4.5242558	2.971851	-2.9093096	PCOLCE2	procollagen C-endopeptidase enhancer 2
A_23_P36531	0.00324	0.00041	-3.5980764	-0.434879	-2.9049978	TSPAN8	tetraspanin 8
A_24_P79300	9.63E-11	3.45E-13	-7.8299291	19.519362	-2.9030358	CLDN5	claudin 5
A_23_P155979	0.000136	0.00000808	-4.5902497	3.238819	-2.9026335	EGF	epidermal growth factor
A_23_P56578	0.0000398	0.00000181	-4.9284842	4.654598	-2.9021293	VIT	vitrin
A_23_P41528	0.00000127	2.78E-08	-5.7984578	8.637939	-2.8971024	FGFBP2	fibroblast growth factor binding protein 2
A_24_P251764	1.98E-13	2.36E-16	-9.00661	26.572514	-2.8967271	CXCL3	C-X-C motif chemokine ligand 3
A_23_P73526	0.0000632	0.00000318	-4.8028981	4.119769	-2.8966061	CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
A_23_P170888	0.00000154	3.52E-08	-5.7520207	8.413667	-2.8872097	DPP6	dipeptidyl peptidase like 6
